english_word,translation,difficulty_level
the,определённый артикль,BEGINNER
be,быть,BEGINNER
to,к,BEGINNER
of,из,BEGINNER
and,и,BEGINNER
a,неопределённый артикль,BEGINNER
in,в,BEGINNER
have,иметь,BEGINNER
I,я,BEGINNER
it,это,BEGINNER
for,для,BEGINNER
not,не,BEGINNER
on,на,BEGINNER
with,с,BEGINNER
he,он,BEGINNER
as,как,BEGINNER
you,ты/вы,BEGINNER
do,делать,BEGINNER
at,у/в/на,BEGINNER
this,этот,BEGINNER
but,но,BEGINNER
his,его,BEGINNER
by,по/до,BEGINNER
from,от/из,BEGINNER
they,они,BEGINNER
we,мы,BEGINNER
say,говорить,BEGINNER
her,её,BEGINNER
she,она,BEGINNER
or,или,BEGINNER
an,неопределённый артикль,BEGINNER
will,будет,BEGINNER
my,мой,BEGINNER
one,один,BEGINNER
all,все,BEGINNER
would,бы,BEGINNER
there,там,BEGINNER
their,их,BEGINNER
what,что,BEGINNER
so,так/поэтому,BEGINNER
up,вверх,BEGINNER
out,из/наружу,BEGINNER
if,если,BEGINNER
about,о/около,BEGINNER
who,кто,BEGINNER
get,получать,BEGINNER
which,который,BEGINNER
go,идти,BEGINNER
me,мне/меня,BEGINNER
when,когда,BEGINNER
make,делать/создавать,BEGINNER
can,мочь/уметь,BEGINNER
like,как/нравиться,BEGINNER
time,время,BEGINNER
no,нет,BEGINNER
just,только/просто,BEGINNER
him,его,BEGINNER
know,знать,BEGINNER
take,брать,BEGINNER
people,люди,BEGINNER
into,в/внутрь,BEGINNER
year,год,BEGINNER
your,твой/ваш,BEGINNER
good,хороший,BEGINNER
some,некоторый/немного,BEGINNER
could,мог бы,BEGINNER
them,их/им,BEGINNER
see,видеть,BEGINNER
other,другой,BEGINNER
than,чем,BEGINNER
then,тогда/затем,BEGINNER
now,сейчас,BEGINNER
look,смотреть,BEGINNER
only,только,BEGINNER
come,приходить,BEGINNER
its,его/её,BEGINNER
over,над/через,BEGINNER
think,думать,BEGINNER
also,также,BEGINNER
back,назад/спина,BEGINNER
after,после,BEGINNER
use,использовать,BEGINNER
two,два,BEGINNER
how,как,BEGINNER
our,наш,BEGINNER
work,работа,BEGINNER
first,первый,BEGINNER
well,хорошо,BEGINNER
way,путь/способ,BEGINNER
even,даже,BEGINNER
new,новый,BEGINNER
want,хотеть,BEGINNER
because,потому что,BEGINNER
any,любой,BEGINNER
these,эти,BEGINNER
give,давать,BEGINNER
day,день,BEGINNER
most,большинство,BEGINNER
us,нам/нас,BEGINNER
great,отличный/великий,BEGINNER
hello,привет,BEGINNER
goodbye,до свидания,BEGINNER
please,пожалуйста,BEGINNER
thank,благодарить,BEGINNER
sorry,извините,BEGINNER
yes,да,BEGINNER
house,дом,BEGINNER
book,книга,BEGINNER
water,вода,BEGINNER
food,еда,BEGINNER
friend,друг,BEGINNER
family,семья,BEGINNER
mother,мать,BEGINNER
father,отец,BEGINNER
brother,брат,BEGINNER
sister,сестра,BEGINNER
child,ребёнок,BEGINNER
name,имя,BEGINNER
city,город,BEGINNER
country,страна,BEGINNER
world,мир,BEGINNER
school,школа,BEGINNER
student,студент,BEGINNER
teacher,учитель,BEGINNER
car,машина,BEGINNER
street,улица,BEGINNER
money,деньги,BEGINNER
price,цена,BEGINNER
question,вопрос,BEGINNER
answer,ответ,BEGINNER
help,помощь,BEGINNER
important,важный,BEGINNER
beautiful,красивый,BEGINNER
happy,счастливый,BEGINNER
sad,грустный,BEGINNER
big,большой,BEGINNER
small,маленький,BEGINNER
hot,горячий,BEGINNER
cold,холодный,BEGINNER
young,молодой,BEGINNER
old,старый,BEGINNER
long,длинный,BEGINNER
short,короткий,BEGINNER
high,высокий,BEGINNER
low,низкий,BEGINNER
fast,быстрый,BEGINNER
slow,медленный,BEGINNER
easy,лёгкий,BEGINNER
hard,трудный,BEGINNER
late,поздний,BEGINNER
early,ранний,BEGINNER
near,близко,BEGINNER
far,далеко,BEGINNER
right,правый/правильный,BEGINNER
wrong,неправильный,BEGINNER
open,открывать,BEGINNER
close,закрывать,BEGINNER
start,начинать,BEGINNER
finish,заканчивать,BEGINNER
stop,останавливаться,BEGINNER
continue,продолжать,BEGINNER
change,менять,BEGINNER
buy,покупать,BEGINNER
sell,продавать,BEGINNER
pay,платить,BEGINNER
find,находить,BEGINNER
lose,терять,BEGINNER
try,пытаться,BEGINNER
keep,держать/хранить,BEGINNER
learn,учить/изучать,BEGINNER
teach,учить/преподавать,BEGINNER
remember,помнить,BEGINNER
forget,забывать,BEGINNER
